program	first_seen_rank	range	rows	blocks	summary	evidence_basis	behavior_tags	confidence	exact_side_effect_categories	role_mix	top_strings	outgoing_targets	incoming_programs	external_or_exit_edges	top_opcodes	state_kind_mix	dispatch_slot_mix	source_c	vmops	dossier	unresolved	next_action
029	11	0x22fe2d..0x2304b8	436	6	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			029:5,external_or_exit:1	029:5	1	vmop_258_plus0x4_state_add_const_slot_multi_path:19,vmop_066_plus0x3_state_add_const_slot_multi_path:19,vmop_189_plus0x4_state_add_const_slot_mba_stateful:17,vmop_114_plus0x4_state_add_const_slot_multi_path:17,vmop_347_plus0x4_state_add_const_slot_multi_path:17,vmop_199_plus0x3_state_add_const_slot_multi_path:14,vmop_018_plus0x3_state_add_const_slot_multi_path:12,vmop_172_plus0x4_state_add_const_slot_mba_stateful:12,vmop_028_plus0x3_state_add_const_slot_u16_0:12,vmop_297_plus0x3_state_add_const_slot_multi_path:11	state_add_const:403,state_mixed:20,state_const_post:9,sampled_backedge:2,state_preserve:1,state_formula:1	slot_multi_path:281,slot_mba_stateful:113,slot_u16_0:23,slot_u16_1_sub_const:9,slot_const_or_affine:5,slot_u16_2:3,slot_unknown:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_029.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_029.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_029.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
030	12	0x230722..0x231237	740	4	VM dispatch/math only so far; no behavioral data refs recovered	timeline/control/opcode evidence only; confidence is intentionally conservative	vm_dispatch_math_only_so_far	none	no_exact_side_effect_ref			030:4	030:4	0	vmop_347_plus0x4_state_add_const_slot_multi_path:29,vmop_018_plus0x3_state_add_const_slot_multi_path:24,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:24,vmop_258_plus0x4_state_add_const_slot_multi_path:24,vmop_064_plus0x4_state_add_const_slot_multi_path:21,vmop_028_plus0x3_state_add_const_slot_u16_0:21,vmop_337_plus0x4_state_add_const_slot_multi_path:21,vmop_114_plus0x4_state_add_const_slot_multi_path:20,vmop_189_plus0x4_state_add_const_slot_mba_stateful:20,vmop_340_plus0x4_state_add_const_slot_multi_path:20	state_add_const:683,state_mixed:33,state_const_post:17,state_preserve:4,state_formula:2,exact:1	slot_multi_path:476,slot_mba_stateful:191,slot_u16_0:41,slot_u16_1_sub_const:24,slot_const_or_affine:5,slot_u16_2:1,slot_u16_0_sub_const:1,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_030.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_030.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_030.md	intent_not_final;no_exact_string_or_data_ref	defer until control graph names this program or new data refs appear
031	50	0x2316bf..0x231b74	315	2	C++ runtime/support surface	exact string/data references plus opcode/control evidence	cxx_runtime	low_to_medium	cxx_runtime:1	cxx_runtime_type_or_exception_text:1	_ZGTtdlPv	031:1,external_or_exit:1	031:1	1	vmop_066_plus0x3_state_add_const_slot_multi_path:18,vmop_258_plus0x4_state_add_const_slot_multi_path:17,vmop_018_plus0x3_state_add_const_slot_multi_path:17,vmop_189_plus0x4_state_add_const_slot_mba_stateful:16,vmop_340_plus0x4_state_add_const_slot_multi_path:12,vmop_347_plus0x4_state_add_const_slot_multi_path:12,vmop_215_plus0x3_state_mixed_slot_u16_0:11,vmop_114_plus0x4_state_add_const_slot_multi_path:11,vmop_064_plus0x4_state_add_const_slot_multi_path:10,vmop_028_plus0x3_state_add_const_slot_u16_0:10	state_add_const:292,state_mixed:18,state_const_post:3,state_preserve:1,state_formula:1	slot_multi_path:214,slot_mba_stateful:67,slot_u16_0:21,slot_u16_1_sub_const:10,slot_const_or_affine:3	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_031.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_031.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_031.md	intent_not_final;external_or_exit_edges_need_semantics	reduce opcode/dataflow around referenced site and native bridge target
032	2	0x249468..0x24bd2a	2708	16	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			032:14,033:1,external_or_exit:1	032:14	1	vmop_018_plus0x3_state_add_const_slot_multi_path:120,vmop_028_plus0x3_state_add_const_slot_u16_0:103,vmop_258_plus0x4_state_add_const_slot_multi_path:103,vmop_337_plus0x4_state_add_const_slot_multi_path:97,vmop_340_plus0x4_state_add_const_slot_multi_path:96,vmop_064_plus0x4_state_add_const_slot_multi_path:94,vmop_114_plus0x4_state_add_const_slot_multi_path:90,vmop_189_plus0x4_state_add_const_slot_mba_stateful:87,vmop_347_plus0x4_state_add_const_slot_multi_path:87,vmop_297_plus0x3_state_add_const_slot_multi_path:81	state_add_const:2548,state_mixed:119,state_const_post:36,state_preserve:3,state_simple:2	slot_multi_path:1799,slot_mba_stateful:633,slot_u16_0:165,slot_u16_1_sub_const:80,slot_const_or_affine:31	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_032.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_032.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_032.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
033	0	0x26cd71..0x26cf3b	113	1	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			034:1	032:1,034:1	0	vmop_066_plus0x3_state_add_const_slot_multi_path:7,vmop_340_plus0x4_state_add_const_slot_multi_path:5,vmop_189_plus0x4_state_add_const_slot_mba_stateful:5,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:5,vmop_043_plus0x4_state_add_const_slot_mba_stateful:5,vmop_337_plus0x4_state_add_const_slot_multi_path:5,vmop_157_plus0x4_state_add_const_slot_multi_path:4,vmop_287_plus0x4_state_add_const_slot_multi_path:4,vmop_018_plus0x3_state_add_const_slot_multi_path:4,vmop_347_plus0x4_state_add_const_slot_multi_path:4	state_add_const:102,state_mixed:4,state_preserve:3,state_const_post:2,state_formula:1,sampled_long_or_sparse:1	slot_multi_path:71,slot_mba_stateful:30,slot_u16_1_sub_const:5,slot_const_or_affine:4,slot_u16_0:2,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_033.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_033.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_033.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
034	1	0x26db07..0x26f097	1437	1	control-transfer/native-bridge candidate with no exact side-effect reference yet	exact string/data references plus opcode/control evidence	control_transfer_or_native_bridge_candidate	low_to_medium	literal_data:1	literal_data_marker:1	YYYYY	033:1	033:1	0	vmop_340_plus0x4_state_add_const_slot_multi_path:58,vmop_258_plus0x4_state_add_const_slot_multi_path:56,vmop_018_plus0x3_state_add_const_slot_multi_path:55,vmop_028_plus0x3_state_add_const_slot_u16_0:55,vmop_066_plus0x3_state_add_const_slot_multi_path:52,vmop_337_plus0x4_state_add_const_slot_multi_path:49,vmop_114_plus0x4_state_add_const_slot_multi_path:47,vmop_064_plus0x4_state_add_const_slot_multi_path:46,vmop_347_plus0x4_state_add_const_slot_multi_path:45,vmop_189_plus0x4_state_add_const_slot_mba_stateful:45	state_add_const:1330,state_mixed:72,state_const_post:19,state_preserve:13,state_formula:2,sampled_backedge:1	slot_multi_path:958,slot_mba_stateful:322,slot_u16_0:94,slot_u16_1_sub_const:41,slot_const_or_affine:21,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_034.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_034.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_034.md	intent_not_final	reduce opcode/dataflow around referenced site and native bridge target
035	59	0x292986..0x293689	834	13	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			035:12,external_or_exit:1	035:12,040:1	1	vmop_028_plus0x3_state_add_const_slot_u16_0:42,vmop_189_plus0x4_state_add_const_slot_mba_stateful:36,vmop_114_plus0x4_state_add_const_slot_multi_path:33,vmop_064_plus0x4_state_add_const_slot_multi_path:31,vmop_018_plus0x3_state_add_const_slot_multi_path:30,vmop_347_plus0x4_state_add_const_slot_multi_path:28,vmop_066_plus0x3_state_add_const_slot_multi_path:28,vmop_258_plus0x4_state_add_const_slot_multi_path:28,vmop_340_plus0x4_state_add_const_slot_multi_path:26,vmop_297_plus0x3_state_add_const_slot_multi_path:25	state_add_const:775,state_mixed:42,state_const_post:13,state_preserve:3,state_formula:1	slot_multi_path:538,slot_mba_stateful:202,slot_u16_0:61,slot_u16_1_sub_const:24,slot_const_or_affine:8,slot_u16_2:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_035.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_035.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_035.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
036	60	0x2bec2e..0x2bf068	272	3	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			036:2,037:1	036:2	0	vmop_064_plus0x4_state_add_const_slot_multi_path:16,vmop_199_plus0x3_state_add_const_slot_multi_path:13,vmop_066_plus0x3_state_add_const_slot_multi_path:12,vmop_297_plus0x3_state_add_const_slot_multi_path:12,vmop_114_plus0x4_state_add_const_slot_multi_path:12,vmop_185_plus0x3_state_add_const_slot_multi_path:11,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:10,vmop_337_plus0x4_state_add_const_slot_multi_path:10,vmop_258_plus0x4_state_add_const_slot_multi_path:10,vmop_189_plus0x4_state_add_const_slot_mba_stateful:9	state_add_const:252,state_mixed:14,state_const_post:4,state_formula:1,sampled_backedge:1	slot_multi_path:203,slot_mba_stateful:46,slot_u16_1_sub_const:10,slot_u16_0:8,slot_const_or_affine:4,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_036.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_036.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_036.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
037	61	0x2bf297..0x2bf50f	157	2	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			037:1,038:1	036:1,037:1	0	vmop_340_plus0x4_state_add_const_slot_multi_path:10,vmop_199_plus0x3_state_add_const_slot_multi_path:8,vmop_018_plus0x3_state_add_const_slot_multi_path:7,vmop_033_plus0x4_state_add_const_slot_multi_path:7,vmop_114_plus0x4_state_add_const_slot_multi_path:6,vmop_258_plus0x4_state_add_const_slot_multi_path:6,vmop_347_plus0x4_state_add_const_slot_multi_path:6,vmop_043_plus0x4_state_add_const_slot_mba_stateful:5,vmop_064_plus0x4_state_add_const_slot_multi_path:5,vmop_297_plus0x3_state_add_const_slot_multi_path:5	state_add_const:147,state_mixed:5,state_const_post:3,state_affine:1,sampled_long_or_sparse:1	slot_multi_path:111,slot_mba_stateful:33,slot_u16_0:5,slot_u16_1_sub_const:4,slot_const_or_affine:3,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_037.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_037.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_037.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
038	62	0x2bf97c..0x2bf9cc	14	1	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			039:1	037:1	0	vmop_165_plus0x2_state_const_post_slot_const_or_affine:2,vmop_157_plus0x4_state_add_const_slot_multi_path:2,vmop_258_plus0x4_state_add_const_slot_multi_path:1,vmop_185_plus0x3_state_add_const_slot_multi_path:1,vmop_124_plus0x6_state_add_const_slot_multi_path:1,vmop_049_plus0x5_state_add_const_slot_mba_stateful:1,vmop_144_plus0x2_state_mixed_slot_mba_stateful:1,vmop_322_plus0x4_state_add_const_slot_multi_path:1,vmop_347_plus0x4_state_add_const_slot_multi_path:1,vmop_199_plus0x3_state_add_const_slot_multi_path:1	state_add_const:9,state_const_post:2,state_mixed:1,state_formula:1,sampled_backedge:1	slot_multi_path:8,slot_mba_stateful:3,slot_const_or_affine:2,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_038.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_038.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_038.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
039	63	0x2bfe6f..0x2c05b1	476	4	network-facing logic or network import reference	exact string/data references plus opcode/control evidence	networking	low_to_medium	network:1	network_import_symbol:1	socket	039:3,040:1	039:3,038:1	0	vmop_066_plus0x3_state_add_const_slot_multi_path:23,vmop_064_plus0x4_state_add_const_slot_multi_path:22,vmop_185_plus0x3_state_add_const_slot_multi_path:20,vmop_189_plus0x4_state_add_const_slot_mba_stateful:19,vmop_258_plus0x4_state_add_const_slot_multi_path:18,vmop_347_plus0x4_state_add_const_slot_multi_path:17,vmop_337_plus0x4_state_add_const_slot_multi_path:16,vmop_114_plus0x4_state_add_const_slot_multi_path:15,vmop_028_plus0x3_state_add_const_slot_u16_0:15,vmop_199_plus0x3_state_add_const_slot_multi_path:15	state_add_const:448,state_mixed:20,state_const_post:5,state_preserve:1,state_affine:1,sampled_long_or_sparse:1	slot_multi_path:324,slot_mba_stateful:109,slot_u16_0:26,slot_u16_1_sub_const:11,slot_const_or_affine:4,slot_u16_2:1,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_039.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_039.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_039.md	intent_not_final	reduce opcode/dataflow around referenced site and native bridge target
040	65	0x2c1156..0x2c13ed	165	2	C++ runtime/support surface	exact string/data references plus opcode/control evidence	cxx_runtime	low_to_medium	cxx_runtime:1	cxx_runtime_type_or_exception_text:1	basic_string::append	040:1,035:1	039:1,040:1	0	vmop_258_plus0x4_state_add_const_slot_multi_path:9,vmop_066_plus0x3_state_add_const_slot_multi_path:9,vmop_114_plus0x4_state_add_const_slot_multi_path:7,vmop_189_plus0x4_state_add_const_slot_mba_stateful:6,vmop_215_plus0x3_state_mixed_slot_u16_0:6,vmop_337_plus0x4_state_add_const_slot_multi_path:6,vmop_028_plus0x3_state_add_const_slot_u16_0:6,vmop_157_plus0x4_state_add_const_slot_multi_path:6,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:5,vmop_199_plus0x3_state_add_const_slot_multi_path:5	state_add_const:150,state_mixed:10,state_const_post:4,sampled_backedge:1	slot_multi_path:114,slot_mba_stateful:30,slot_u16_0:13,slot_u16_1_sub_const:5,slot_const_or_affine:2,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_040.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_040.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_040.md	intent_not_final	reduce opcode/dataflow around referenced site and native bridge target
041	31	0x30e872..0x316692	8444	13	crypto/hash helper surface; C++ runtime/support surface; disassembly metadata surface	exact string/data references plus opcode/control evidence	crypto_hashing;cxx_runtime;disassembly_metadata	medium	cxx_runtime:1,locale_i18n:1,crypto_hashing:1,compiler_metadata:1,disassembly_metadata:1	gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1,crypto_import_symbol:1,compiler_type_name:1,disassembly_metadata_symbol:1	_ITM_registerTMCloneTable || __freelocale || blake3_hasher_finalize || unsigned __int128 || zydis_decoder_tree_root	041:12,055:1	041:12,055:1	0	vmop_337_plus0x4_state_add_const_slot_multi_path:306,vmop_189_plus0x4_state_add_const_slot_mba_stateful:295,vmop_028_plus0x3_state_add_const_slot_u16_0:292,vmop_114_plus0x4_state_add_const_slot_multi_path:292,vmop_018_plus0x3_state_add_const_slot_multi_path:292,vmop_340_plus0x4_state_add_const_slot_multi_path:291,vmop_258_plus0x4_state_add_const_slot_multi_path:283,vmop_064_plus0x4_state_add_const_slot_multi_path:277,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:270,vmop_347_plus0x4_state_add_const_slot_multi_path:265	state_add_const:7816,state_mixed:421,state_const_post:105,state_preserve:85,state_formula:8,sampled_backedge:6,sampled_long_or_sparse:1,exact:1	slot_multi_path:5535,slot_mba_stateful:1982,slot_u16_0:512,slot_u16_1_sub_const:270,slot_const_or_affine:130,slot_unknown:9,slot_u16_2:5,slot_u16_0_sub_const:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_041.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_041.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_041.md	needs_final_dataflow_confirmation	reduce opcode/dataflow around referenced site and native bridge target
042	17	0x31aa27..0x31ddb5	3387	28	C++ runtime/support surface	exact string/data references plus opcode/control evidence	cxx_runtime	medium	cxx_runtime:2,locale_i18n:2	gnu_transactional_memory_runtime_symbol:2,locale_runtime_symbol:2	_ITM_registerTMCloneTable || __freelocale || _ITM_registerTMCloneTable || __freelocale	042:27,043:1	042:27	0	vmop_018_plus0x3_state_add_const_slot_multi_path:103,vmop_028_plus0x3_state_add_const_slot_u16_0:101,vmop_258_plus0x4_state_add_const_slot_multi_path:100,vmop_337_plus0x4_state_add_const_slot_multi_path:95,vmop_189_plus0x4_state_add_const_slot_mba_stateful:94,vmop_066_plus0x3_state_add_const_slot_multi_path:93,vmop_199_plus0x3_state_add_const_slot_multi_path:85,vmop_347_plus0x4_state_add_const_slot_multi_path:85,vmop_340_plus0x4_state_add_const_slot_multi_path:80,vmop_064_plus0x4_state_add_const_slot_multi_path:80	state_add_const:3092,state_mixed:200,state_const_post:69,sampled_backedge:7,state_preserve:6,state_simple:4,sampled_long_or_sparse:4,state_formula:3	slot_multi_path:2109,slot_mba_stateful:947,slot_u16_0:186,slot_u16_1_sub_const:74,slot_const_or_affine:38,slot_u16_2:19,slot_unknown:13,slot_u16_0_sub_const:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_042.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_042.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_042.md	needs_final_dataflow_confirmation	reduce opcode/dataflow around referenced site and native bridge target
043	18	0x31df8f..0x31e862	554	10	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			043:7,048:1,052:1,044:1	043:7,042:1	0	vmop_337_plus0x4_state_add_const_slot_multi_path:24,vmop_028_plus0x3_state_add_const_slot_u16_0:23,vmop_189_plus0x4_state_add_const_slot_mba_stateful:23,vmop_066_plus0x3_state_add_const_slot_multi_path:22,vmop_340_plus0x4_state_add_const_slot_multi_path:22,vmop_018_plus0x3_state_add_const_slot_multi_path:21,vmop_347_plus0x4_state_add_const_slot_multi_path:20,vmop_297_plus0x3_state_add_const_slot_multi_path:20,vmop_064_plus0x4_state_add_const_slot_multi_path:18,vmop_114_plus0x4_state_add_const_slot_multi_path:18	state_add_const:508,state_mixed:27,state_const_post:6,state_preserve:5,state_formula:5,state_affine:1,sampled_backedge:1,sampled_long_or_sparse:1	slot_multi_path:376,slot_mba_stateful:121,slot_u16_0:34,slot_u16_1_sub_const:15,slot_const_or_affine:6,slot_unknown:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_043.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_043.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_043.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
044	28	0x31ea5c..0x31eaac	14	1	control-transfer/native-bridge candidate with no exact side-effect reference yet	timeline/control/opcode evidence only; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			045:1	043:1	0	vmop_268_plus0x4_state_add_const_slot_multi_path:2,vmop_354_plus0x2_state_const_post_slot_const_or_affine:1,vmop_018_plus0x3_state_add_const_slot_multi_path:1,vmop_064_plus0x4_state_add_const_slot_multi_path:1,vmop_253_plus0x6_state_add_const_slot_mba_stateful:1,vmop_269_plus0x5_state_add_const_slot_multi_path:1,vmop_144_plus0x2_state_mixed_slot_mba_stateful:1,vmop_165_plus0x2_state_const_post_slot_const_or_affine:1,vmop_340_plus0x4_state_add_const_slot_multi_path:1,vmop_254_plus0x4_state_add_const_slot_mba_stateful:1	state_add_const:9,state_const_post:2,state_mixed:1,state_formula:1,sampled_backedge:1	slot_multi_path:6,slot_mba_stateful:4,slot_const_or_affine:2,slot_u16_1_sub_const:1,slot_unknown:1	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_044.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_044.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_044.md	intent_not_final;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
045	29	0x31eae4..0x31f2b1	520	4	threading or synchronization surface	exact string/data references plus opcode/control evidence	threading_sync	low_to_medium	threading_sync:1	threading_import_symbol:1	pthread_cond_wait	045:3,external_or_exit:1	045:3,044:1	1	vmop_189_plus0x4_state_add_const_slot_mba_stateful:21,vmop_064_plus0x4_state_add_const_slot_multi_path:20,vmop_114_plus0x4_state_add_const_slot_multi_path:20,vmop_028_plus0x3_state_add_const_slot_u16_0:19,vmop_307_plus0x3_state_add_const_slot_u16_1_sub_const:19,vmop_347_plus0x4_state_add_const_slot_multi_path:19,vmop_337_plus0x4_state_add_const_slot_multi_path:19,vmop_340_plus0x4_state_add_const_slot_multi_path:18,vmop_066_plus0x3_state_add_const_slot_multi_path:18,vmop_297_plus0x3_state_add_const_slot_multi_path:17	state_add_const:482,state_mixed:30,state_const_post:6,state_formula:1,state_preserve:1	slot_multi_path:335,slot_mba_stateful:124,slot_u16_0:36,slot_u16_1_sub_const:19,slot_const_or_affine:6	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_045.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_045.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_045.md	intent_not_final;external_or_exit_edges_need_semantics	reduce opcode/dataflow around referenced site and native bridge target
046	23	0x33170b..0x33384d	2184	18	C++ runtime/support surface	exact string/data references plus opcode/control evidence	cxx_runtime	medium	cxx_runtime:1,locale_i18n:1	gnu_transactional_memory_runtime_symbol:1,locale_runtime_symbol:1	_ITM_registerTMCloneTable || __freelocale	046:17,047:1	046:17	0	vmop_018_plus0x3_state_add_const_slot_multi_path:70,vmop_340_plus0x4_state_add_const_slot_multi_path:70,vmop_258_plus0x4_state_add_const_slot_multi_path:70,vmop_064_plus0x4_state_add_const_slot_multi_path:69,vmop_189_plus0x4_state_add_const_slot_mba_stateful:68,vmop_297_plus0x3_state_add_const_slot_multi_path:66,vmop_347_plus0x4_state_add_const_slot_multi_path:64,vmop_114_plus0x4_state_add_const_slot_multi_path:63,vmop_185_plus0x3_state_add_const_slot_multi_path:61,vmop_215_plus0x3_state_mixed_slot_u16_0:60	state_add_const:2007,state_mixed:123,state_const_post:46,state_preserve:3,sampled_long_or_sparse:2,sampled_backedge:2,exact:1	slot_multi_path:1410,slot_mba_stateful:559,slot_u16_0:122,slot_u16_1_sub_const:59,slot_const_or_affine:24,slot_unknown:5,slot_u16_2:5	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_046.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_046.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_046.md	needs_final_dataflow_confirmation	reduce opcode/dataflow around referenced site and native bridge target
047	24	0x333882..0x333bc9	220	2	control-transfer/native-bridge candidate with no exact side-effect reference yet	control graph has external/exit edges but no exact string/data references; confidence is intentionally conservative	control_transfer_or_native_bridge_candidate	low	no_exact_side_effect_ref			047:1,external_or_exit:1	046:1,047:1	1	vmop_215_plus0x3_state_mixed_slot_u16_0:11,vmop_114_plus0x4_state_add_const_slot_multi_path:10,vmop_185_plus0x3_state_add_const_slot_multi_path:9,vmop_066_plus0x3_state_add_const_slot_multi_path:8,vmop_347_plus0x4_state_add_const_slot_multi_path:8,vmop_337_plus0x4_state_add_const_slot_multi_path:8,vmop_297_plus0x3_state_add_const_slot_multi_path:8,vmop_189_plus0x4_state_add_const_slot_mba_stateful:8,vmop_064_plus0x4_state_add_const_slot_multi_path:8,vmop_340_plus0x4_state_add_const_slot_multi_path:8	state_add_const:203,state_mixed:14,state_const_post:3	slot_multi_path:144,slot_mba_stateful:53,slot_u16_0:16,slot_u16_1_sub_const:5,slot_const_or_affine:2	dumps/vmtail-wide-1m-w16/vm_programs_decompiled_folded/vm_program_atlas_047.c	dumps/vmtail-wide-1m-w16/vm_programs_opcode_pseudocode/vm_program_atlas_047.vmops	dumps/vmtail-wide-1m-w16/vm_program_behavior_dossiers/vm_program_atlas_047.md	intent_not_final;external_or_exit_edges_need_semantics;no_exact_string_or_data_ref	confirm tags by reducing nearby opcode windows and native/import bridge targets
